Location,QuadKey,Url,Size,UploadDate
Afghanistan,123013211,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013211/part-00006-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,994.2KB,2026-02-23
Afghanistan,123013212,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013212/part-00107-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.0MB,2026-02-23
Afghanistan,123013213,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013213/part-00032-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.8MB,2026-02-23
Afghanistan,123013220,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013220/part-00064-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.1MB,2026-02-23
Afghanistan,123013221,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013221/part-00187-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,889.2KB,2026-02-23
Afghanistan,123013222,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013222/part-00057-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,7.1MB,2026-02-23
Afghanistan,123013223,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013223/part-00059-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.8MB,2026-02-23
Afghanistan,123013230,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013230/part-00110-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,837.6KB,2026-02-23
Afghanistan,123013231,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013231/part-00095-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,600.7KB,2026-02-23
Afghanistan,123013232,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013232/part-00066-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.3MB,2026-02-23
Afghanistan,123013233,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013233/part-00048-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.4MB,2026-02-23
Afghanistan,123013300,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013300/part-00042-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,883.7KB,2026-02-23
Afghanistan,123013301,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013301/part-00070-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,841.8KB,2026-02-23
Afghanistan,123013302,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013302/part-00080-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.8MB,2026-02-23
Afghanistan,123013303,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013303/part-00162-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.6MB,2026-02-23
Afghanistan,123013310,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013310/part-00074-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.2MB,2026-02-23
Afghanistan,123013311,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Afghanistan/quadkey=123013311/part-00121-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.3MB,2026-02-23
